Srno,EnglishRecepie,FlavourProfile,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Diet,Course,Cuisine,Region,StringCleanedLowerIngredientsFiltered,ProcessedCleanedLoweredIngredientsFiltered,common_alergens,URL
1433,Karupatti Coffee Recipe,Bitter,10,5,15,1,Vegetarian,Snack,Indian,Indian,palm jaggery water ginger coriander coriander jeera jeera black peppercorns saufseeds saunf,"['palm', 'jaggery', 'water', 'ginger', 'coriander', 'coriander', 'jeera', 'jeera', 'peppercorns', 'saufseeds', 'saunf']",[],http://www.archanaskitchen.com/karupatti-coffee-recipe
1434,Pasta In Tomato Onion Chutney Recipe,Tangy,10,30,40,3,Vegetarian,Dinner,Fusion,International,onions tomato fresh chillies laung garlic olive oil spaghetti pasta pasta your choice penne salt black pepper,"['onions', 'tomato', 'chillies', 'laung', 'garlic', 'olive', 'oil', 'spaghetti', 'pasta', 'pasta', 'your', 'choice', 'penne', 'salt', 'pepper']",[],https://www.archanaskitchen.com/pasta-in-tomato-onion-chutney-recipe
1435,Minced Meat And Egg Croquettes Recipe,Spicy,10,45,55,4,Non Vegeterian,Appetizer,North Indian Recipes,North India,mutton egg boiled onion ginger garlic chilli haldi haldi jeera jeera coriander coriander salt saltto sunflower oil water if purpose flour maida egg beaten wheat bread crumbs sunflower oil deep,"['mutton', 'minced', 'egg', 'boiled', 'peeled', 'onion', 'ginger', 'garlic', 'chilli', 'haldi', 'haldi', 'jeera', 'jeera', 'coriander', 'coriander', 'salt', 'saltto', 'oil', 'water', 'if', 'flour', 'maida', 'egg', 'beaten', 'wheat', 'bread', 'crumbs', 'oil', 'deep']",[],http://www.archanaskitchen.com/minced-meat-and-egg-croquettes-recipe
1436,Kovakka Thoran Recipe,Spicy,10,15,25,4,Vegetarian,Lunch,Tamil Nadu,South India,tindora coconut green chillies sprig curry jeera mustard haldi salt accordingly,"['tindora', 'coconut', 'chillies', 'sprig', 'curry', 'jeera', 'mustard', 'haldi', 'salt', 'accordingly']",['mustard'],http://www.archanaskitchen.com/kovakka-thoran-poriyal-recipe-in-hindi
1437,Whole Wheat Beetroot Paratha Recipe,Savory,25,25,50,4,Vegetarian,Lunch,Indian,Indian,wheat flour beetroots chilli haldi haldi jeera jeera roasted salt water ghee oil paratha,"['wheat', 'flour', 'beetroots', 'chilli', 'haldi', 'haldi', 'jeera', 'jeera', 'salt', 'water', 'ghee', 'oil', 'cook', 'paratha']",['ghee'],https://www.archanaskitchen.com/whole-wheat-beetroot-paratha-recipe
1438,Karwar Style Khatkhate Recipe (Mixed Vegetable Curry With Toor Dal  Coconut),Savory,10,20,30,4,Vegetarian,Lunch,Karnataka,South India,arhar dal toor dal vegetables beans haldi haldi jaggery adjustable kokum malabar tamarind soak hot water extract juice salt fresh coconut chillies coriander coriander sichuan peppercorns sunflower oil mustard jeera jeera curry,"['arhar', 'dal', 'toor', 'dal', 'vegetables', 'beans', 'haldi', 'haldi', 'jaggery', 'adjustable', 'kokum', 'malabar', 'tamarind', 'soak', 'hot', 'water', 'salt', 'coconut', 'chillies', 'coriander', 'coriander', 'sichuan', 'peppercorns', 'oil', 'mustard', 'jeera', 'jeera', 'curry']",['mustard'],http://www.archanaskitchen.com/khatkhate-recipe-karwar-style-mixed-vegetable-curry-with-toor-dal-coconut
1439,Khatti Meethi Mirchi Ki Sabzi Recipe,Tangy,10,35,45,4,No Onion No Garlic (Sattvic),Lunch,North Indian Recipes,North India,green chillies hinghing chilled water chilli haldi haldi amchur mango coriander coriander garam masala lemon juice peanut peanut crushed salt sunflower oil sprig coriander coriander,"['chillies', 'hinghing', 'chilled', 'water', 'chilli', 'haldi', 'haldi', 'amchur', 'mango', 'coriander', 'coriander', 'garam', 'masala', 'lemon', 'peanut', 'peanut', 'salt', 'oil', 'sprig', 'coriander', 'coriander']",['mango'],http://www.archanaskitchen.com/katti-mitti-mirchi-ki-sabzi-recipe
1440,Avocado Mint Soup Recipe  Avocado Mint Soup Recipe,Tangy,5,20,25,2,Vegetarian,Appetizer,Continental,International,avocados laung garlic chop ginger chop onion chop mint olive oil water cayenne fresh,"['avocados', 'laung', 'garlic', 'chop', 'ginger', 'chop', 'onion', 'chop', 'mint', 'olive', 'oil', 'water', 'cayenne']",[],http://www.archanaskitchen.com/avocado-mint-soup-recipe-in-hindi
1441,Cold Pasta Salad With Potatoes And Green Peas Recipe,Savory,10,20,30,2,Vegetarian,Dinner,Italian Recipes,International,penne pasta baby potatoes green peas matar classic mayonnaise egg black pepper iceberg lettuce torn lemon juiced salt italian seasoning garnish,"['penne', 'pasta', 'baby', 'potatoes', 'peas', 'matar', 'classic', 'mayonnaise', 'with', 'egg', 'pepper', 'iceberg', 'lettuce', 'torn', 'lemon', 'juiced', 'salt', 'italian', 'seasoning']",[],https://www.archanaskitchen.com/cold-pasta-salad-with-potatoes-recipe
1442,Chocolate Toast Recipe Topped With Pumpkin  Sunflower Seeds,Sweet,10,20,30,3,Vegetarian,Snack,Continental,International,wheat brown bread butter apply on bread pumpkin sunflower sesame til flax dark chocolate fresh cream vanilla extract,"['wheat', 'brown', 'bread', 'butter', 'apply', 'on', 'bread', 'pumpkin', 'sesame', 'til', 'flax', 'chocolate', 'cream', 'vanilla']","['butter', 'sesame']",http://www.archanaskitchen.com/chocolate-toast-with-toasted-seeds-recipe
1443,Bihari Suran Chutney Recipe (Bihar Style Elephant Yam Chutney),Tangy,20,20,40,4,Diabetic Friendly,Side Dish,Bihari,East India,elephant yam suransenairatalu lemon juice freshly extracted ginger green chillies haldi haldi chilli mustard ajwain carom hinghing mustard oil salt onion garnishing coriander coriander garnishing,"['elephant', 'yam', 'suransenairatalu', 'lemon', 'freshly', 'extracted', 'ginger', 'peeled', 'chillies', 'haldi', 'haldi', 'chilli', 'mustard', 'ajwain', 'carom', 'hinghing', 'mustard', 'oil', 'salt', 'onion', 'garnishing', 'coriander', 'coriander', 'garnishing']",['mustard'],http://www.archanaskitchen.com/bihari-suran-chutney-bihar-style-elephant-yam-chutney-recipe
1444,Allu Chutney Recipe  Ellu Chutney Recipe,Tangy,10,10,20,4,Vegetarian,Side Dish,Karnataka,South India,black sesame urad dal coconut chillies curry little tamarind water salt oil mustard curry some,"['sesame', 'urad', 'dal', 'coconut', 'chillies', 'curry', 'little', 'tamarind', 'water', 'salt', 'oil', 'mustard', 'curry', 'some']","['sesame', 'mustard']",http://www.archanaskitchen.com/ellu-chutney-sesame-seeds-chutney-recipe-in-hindi
1445,Chicken And Basil Quiche Recipe,Savory,10,35,45,4,High Protein Non Vegetarian,World Breakfast,French,International,purpose flour maida butter unsalted chilled icing sugar egg salt onion laung garlic chicken breasts basil dried oregano dried thyme chilli flakes salt egg milk saltand pepper sprinkle,"['flour', 'maida', 'butter', 'chilled', 'sugar', 'egg', 'salt', 'onion', 'laung', 'garlic', 'chicken', 'basil', 'oregano', 'thyme', 'chilli', 'flakes', 'salt', 'egg', 'milk', 'saltand', 'pepper', 'sprinkle']","['butter', 'milk', 'chicken']",https://www.archanaskitchen.com/chicken-and-basil-quiche-recipe
1446,Spinach and Dill Tart With Roasted Peppers Recipe,Savory,20,45,65,4,Vegetarian,Snack,Continental,International,bell pepper capsicum laung garlic spinach dill britannia cheese spread roasted garlic purpose flour maida makes mini tarts salt sugar chilled butter pea size chilled water,"['bell', 'pepper', 'capsicum', 'laung', 'garlic', 'spinach', 'dill', 'britannia', 'cheese', 'spread', 'garlic', 'flour', 'maida', 'makes', 'mini', 'tarts', 'salt', 'sugar', 'chilled', 'butter', 'pea', 'size', 'chilled', 'water']","['butter', 'cheese']",http://www.archanaskitchen.com/spinach-and-dill-tart-with-roasted-peppers-recipe
1447,Besan methi paratha recipe,Bitter,10,20,30,4,Vegetarian,North Indian Breakfast,North Indian Recipes,North India,sunflower oil flour besan hinghing ajwain carom jeera jeera chilli coriander coriander jeera jeera amchur mango garam masala salt methi methileaves wheat flour water bind the dough salt ghee the parathas,"['oil', 'gram', 'flour', 'besan', 'hinghing', 'ajwain', 'carom', 'jeera', 'jeera', 'chilli', 'coriander', 'coriander', 'jeera', 'jeera', 'amchur', 'mango', 'garam', 'masala', 'salt', 'methi', 'methileaves', 'wheat', 'flour', 'water', 'bind', 'the', 'dough', 'salt', 'ghee', 'cook', 'the', 'parathas']","['mango', 'ghee']",http://www.archanaskitchen.com/besan-methi-paratha-recipe
1448,Palak Kichadi Recipe,Savory,15,30,45,6,Vegetarian,Lunch,Indian,Indian,rice pink masoor dal spinach palak tightly packed cleaned garlic onion green peas matar broccoli florets cleaned tofu elaichi stick dalchini jeera jeera tej tej patta green chillies laung garlic strips haldi haldi hinghing garam masala tomato ghee oil,"['rice', 'pink', 'masoor', 'dal', 'spinach', 'palak', 'tightly', 'packed', 'cleaned', 'garlic', 'onion', 'peas', 'matar', 'broccoli', 'florets', 'cleaned', 'tofu', 'elaichi', 'dalchini', 'jeera', 'jeera', 'tej', 'tej', 'patta', 'chillies', 'laung', 'garlic', 'strips', 'haldi', 'haldi', 'hinghing', 'garam', 'masala', 'tomato', 'ghee', 'oil']",['ghee'],https://www.archanaskitchen.com/palak-kichdi-recipe
1449,Green Chilli Vegetable Recipe (Green Chilli Vegetable),Spicy,10,10,20,4,Vegetarian,Lunch,Rajasthani,North India,green chillies oil mustard salt haldi chili saufpowder coriander lemon juice sugar,"['chillies', 'oil', 'mustard', 'salt', 'haldi', 'chili', 'saufpowder', 'coriander', 'lemon', 'sugar']",['mustard'],http://www.archanaskitchen.com/green-chilli-vegetable-recipe-in-hindi
1450,Paneer Onion Paratha Recipe,Savory,20,25,45,4,High Protein Vegetarian,Lunch,North Indian Recipes,North India,wheat flour water knead sunflower oil wheat flour dusting salt paneer paneer onion green chillies coriander coriander coriander coriander chilli garam masala chaat masala salt ghee roasting,"['wheat', 'flour', 'water', 'knead', 'oil', 'wheat', 'flour', 'dusting', 'salt', 'paneer', 'paneer', 'onion', 'chillies', 'coriander', 'coriander', 'coriander', 'coriander', 'chilli', 'garam', 'masala', 'chaat', 'masala', 'salt', 'ghee', 'roasting']","['ghee', 'paneer']",https://www.archanaskitchen.com/onion-paneer-paratha-recipe
1451,Spicy Coconut Peanut Stuffed Baby Brinjal Recipe,Spicy,15,45,60,4,Vegetarian,Dinner,Indian,Indian,brinjal baingan eggplant mustard oil vegetable oil mustard laung garlic salt peanut peanut tomato puree coconut kopra jeera jeera coriander coriander garam masala salt chilli sesame til sprig coriander coriander,"['brinjal', 'baingan', 'eggplant', 'mustard', 'oil', 'vegetable', 'oil', 'mustard', 'laung', 'garlic', 'salt', 'peanut', 'peanut', 'tomato', 'coconut', 'kopra', 'jeera', 'jeera', 'coriander', 'coriander', 'garam', 'masala', 'salt', 'chilli', 'sesame', 'til', 'sprig', 'coriander', 'coriander']","['sesame', 'eggplant', 'brinjal', 'mustard']",http://www.archanaskitchen.com/spicy-coconut-peanut-stuffed-baby-brinjal-recipe
1452,Aloo Parwal In Poppy Seed Masala Recipe,Spicy,15,45,60,6,Vegetarian,Dinner,Bengali Recipes,East India,parwal straight slightly methiseeds potatoes chop straight jeera sauf elaichi chilli ginger coconut poppy dried chilli haldi sugar green chilies take salt mustard oil,"['parwal', 'straight', 'slightly', 'methiseeds', 'potatoes', 'boil', 'chop', 'straight', 'jeera', 'sauf', 'elaichi', 'chilli', 'ginger', 'coconut', 'poppy', 'chilli', 'haldi', 'sugar', 'chilies', 'take', 'salt', 'mustard', 'oil']",['mustard'],https://www.archanaskitchen.com/aloo-parwal-in-poppy-seed-masala-recipe-in-hindi
1453,Zoodles In Tomato And Cashew Cream Sauce Recipe (Vegan),Tangy,10,10,20,2,Vegan,Main Course,Italian Recipes,International,green zucchini spiralised onion laung garlic blanched tomato pureed cashew nuts ground smooth dried basil dried oregano pepper olive oil salt,"['zucchini', 'spiralised', 'onion', 'laung', 'garlic', 'blanched', 'tomato', 'pureed', 'cashew', 'nuts', 'ground', 'smooth', 'basil', 'oregano', 'pepper', 'olive', 'oil', 'salt']",[],http://www.archanaskitchen.com/zoodles-in-tomato-and-cashew-cream-sauce-recipe-vegan
1454,Andhra Style Erra Kaaram Dosa Recipe (Spicy Red Chilli Chutney Dosa Recipe),Spicy,10,25,35,4,Vegetarian,South Indian Breakfast,Andhra,South India,idli dosa batter chillies onion laung garlic tamarind mustard sunflower oil roasted dal pottukadalai laung garlic,"['idli', 'dosa', 'batter', 'chillies', 'onion', 'laung', 'garlic', 'tamarind', 'mustard', 'oil', 'gram', 'dal', 'pottukadalai', 'laung', 'garlic']",['mustard'],https://www.archanaskitchen.com/andhra-style-erra-kaaram-dosa-recipe-spicy-red-chilli-chutney-dosa-recipe
1455,Bengali Posto Porota Recipe (Spiced Poppy Seed Parathas),Spicy,20,30,50,5,Vegetarian,Dinner,Bengali Recipes,East India,wheat flour curd curd curd poppy green chillies sesame til onions sugar kalonji onion nigella nigella coriander coriander bunch ghee oil the paranthas,"['wheat', 'flour', 'curd', 'curd', 'curd', 'poppy', 'chillies', 'sesame', 'til', 'onions', 'sugar', 'kalonji', 'onion', 'nigella', 'nigella', 'coriander', 'coriander', 'bunch', 'ghee', 'oil', 'the', 'paranthas']","['sesame', 'ghee', 'curd']",http://www.archanaskitchen.com/bengali-posto-porota-recipe-spiced-poppy-seed-parathas
1456,Lemon Chicken Chicken Recipe  Chicken with Gandharaja Lemon  Green Chili,Tangy,5,30,35,4,Non Vegeterian,Dinner,Indian,Indian,chicken curd curd curd kaffir lime gondhoraj lebu lemon gondhoraj lebu juice onion puree ginger juice green chilli ginger fine juliennes garlic green chilli black peppercorns black pepper mustard oil honey salt,"['chicken', 'curd', 'curd', 'curd', 'kaffir', 'lime', 'gondhoraj', 'lebu', 'lemon', 'gondhoraj', 'lebu', 'onion', 'ginger', 'chilli', 'ginger', 'fine', 'juliennes', 'garlic', 'chilli', 'peppercorns', 'pepper', 'mustard', 'oil', 'honey', 'salt']","['mustard', 'chicken', 'curd']",https://www.archanaskitchen.com/lebu-lonka-murgi-recipe-chicken-with-gondhoraj-lebu-and-green-chillies
1457,Spinach Egg Muffins Recipe,Savory,10,20,30,6,Non Vegeterian,World Breakfast,Continental,International,egg onion spinach palak salt black pepper tomato garlic sunflower oil,"['egg', 'onion', 'spinach', 'palak', 'salt', 'pepper', 'tomato', 'garlic', 'oil']",[],http://www.archanaskitchen.com/spinach-egg-muffins-recipe
1458,Thai Green Curry with Chicken  Red Rice Recipe,Spicy,5,35,40,4,Non Vegeterian,Lunch,Thai,International,stalks lemongrass green chillies fresh green thai bird chilies coriander coriander sprig basil coriander coriander roasted jeera jeera roasted black peppercorns onion freshly spring onions laung garlic ginger salt chicken breasts bite sized ginger button mushroom quartered carrots carrot ml coconut milk unsweetened thai green curry lukewarm water vegetable brown sugar demerara sugar sprig basil kaffir lime salt sunflower oil matta rice,"['stalks', 'lemongrass', 'chillies', 'thai', 'bird', 'chilies', 'coriander', 'coriander', 'sprig', 'basil', 'coriander', 'coriander', 'jeera', 'jeera', 'peppercorns', 'onion', 'freshly', 'spring', 'onions', 'laung', 'garlic', 'ginger', 'salt', 'chicken', 'bite', 'sized', 'ginger', 'button', 'mushroom', 'quartered', 'carrots', 'carrot', 'ml', 'coconut', 'milk', 'unsweetened', 'thai', 'curry', 'lukewarm', 'water', 'vegetable', 'brown', 'sugar', 'sugar', 'sprig', 'basil', 'kaffir', 'lime', 'salt', 'oil', 'matta', 'rice']","['mushroom', 'milk', 'carrot', 'chicken']",http://www.archanaskitchen.com/thai-green-curry-with-chicken-red-rice-recipe
1459,Butter Coriander  Lemon Sweet Corn Recipe,Tangy,5,10,15,2,Vegetarian,Snack,Indian,Indian,corn steamed coriander coriander butter salt green chilli chaat masala chilli lemon juiced,"['corn', 'steamed', 'coriander', 'coriander', 'butter', 'salt', 'chilli', 'chaat', 'masala', 'chilli', 'lemon', 'juiced']","['butter', 'corn']",https://www.archanaskitchen.com/butter-coriander-lemon-sweet-corn-recipe
1460,Kashmiri Style Dum Oluv Recipe  Dum Aloo Recipe,Spicy,5,30,35,4,Vegetarian,Lunch,Kashmiri,North India,baby potatoes boiled shallow fried water boiling salt sunflower oil tej tej patta laung laung elaichi stick dalchini cardamom elaichi podsseeds kashmiri chilli water saufseeds saunf powdered ginger black cardamom badi elaichi powdered jeera jeera hung curd greek curd low fat whisked till it is smooth,"['baby', 'potatoes', 'boiled', 'shallow', 'fried', 'water', 'boiling', 'salt', 'oil', 'tej', 'tej', 'patta', 'laung', 'laung', 'elaichi', 'dalchini', 'cardamom', 'elaichi', 'podsseeds', 'chilli', 'with', 'water', 'saufseeds', 'saunf', 'ginger', 'cardamom', 'badi', 'elaichi', 'jeera', 'jeera', 'curd', 'curd', 'low', 'fat', 'whisked', 'till', 'it', 'is', 'smooth']",['curd'],https://www.archanaskitchen.com/kashmiri-style-dum-oluv-recipe-whole-spicy-baby-potatoes-recipes
1461,Spinach Paneer Stuffed Oats Chila Recipe  Oats Cheela Recipe Stuffed With Creamy Palak Paneer,Savory,20,40,60,4,Vegetarian,Indian Breakfast,Indian,Indian,wheat flour oats instant spinach paneer tighten jeera chili salt mayo nutralite classic spread usage,"['wheat', 'flour', 'oats', 'instant', 'spinach', 'paneer', 'tighten', 'jeera', 'chili', 'salt', 'mayo', 'nutralite', 'classic', 'spread', 'usage']",['paneer'],https://www.archanaskitchen.com/oats-cheela-recipe-stuffed-with-creamy-palak-paneer-in-hindi
1462,Tamil Nadu Style Karamani Murungakkai Kuzhambu RecipeBlack eyed Beans  Drumstick Curry,Spicy,10,35,45,4,Vegetarian,Lunch,Tamil Nadu,South India,black eyed beans lobia water hours drumstick stripes pearl onions sambar onions laung garlic crushed elaichi stick dalchini laung laung cardamom elaichi podsseeds black peppercorns crushed coriander coriander chilli salt sunflower oil onions saufseeds saunf chilli,"['eyed', 'beans', 'lobia', 'water', 'hours', 'drumstick', 'stripes', 'pearl', 'onions', 'sambar', 'onions', 'laung', 'garlic', 'elaichi', 'dalchini', 'laung', 'laung', 'cardamom', 'elaichi', 'podsseeds', 'peppercorns', 'coriander', 'coriander', 'chilli', 'salt', 'oil', 'onions', 'saufseeds', 'saunf', 'chilli']",[],https://www.archanaskitchen.com/tamil-nadu-style-kara-mani-murungakai-kozhambu-recipe-black-eyed-beans-and-drumstick-curry-recipe
1463,Karwar Style Lasani Kadhi Recipe  Kokum And Coconut Milk Curry,Savory,10,5,15,4,Vegetarian,Lunch,Coastal Karnataka,South India,kokum malabar tamarind fresh coconut coconut milk green chillies laung garlic jeera jeera salt jaggery coriander coriander garnish sunflower oil mustard jeera jeera,"['kokum', 'malabar', 'tamarind', 'coconut', 'coconut', 'milk', 'chillies', 'laung', 'garlic', 'jeera', 'jeera', 'salt', 'jaggery', 'coriander', 'coriander', 'oil', 'mustard', 'jeera', 'jeera']","['milk', 'mustard']",http://www.archanaskitchen.com/karwar-style-lasani-kadhi-recipe
1464,mint Mavinakayi Chutney Recipe  Mint Mango Chutney,Tangy,15,0,15,4,Vegetarian,Side Dish,Karnataka,South India,mango fresh coconut coriander coriander mint mint ginger green chillies lemon juice salt urad dal mustard chilli sunflower oil tempering,"['mango', 'coconut', 'coriander', 'coriander', 'mint', 'mint', 'ginger', 'chillies', 'lemon', 'salt', 'urad', 'dal', 'mustard', 'chilli', 'oil', 'tempering']","['mango', 'mustard']",http://www.archanaskitchen.com/karnataka-style-mint-mavinkayi-chutney-recipe-mint-mango-chutney
1465,Crispy Potato Roses Recipe,Spicy,25,30,55,4,Vegetarian,Appetizer,Continental,International,potatoes aloo butter melted italian seasoning garlic kosher salt black pepper parmesan cheese,"['potatoes', 'aloo', 'butter', 'melted', 'italian', 'seasoning', 'garlic', 'kosher', 'salt', 'pepper', 'parmesan', 'cheese']","['butter', 'cheese']",https://www.archanaskitchen.com/crispy-potato-roses-recipe
1466,Goan Sweet Khatkhati Recipe (Coconut Candy),Sweet,10,20,30,4,Vegetarian,Dessert,Goan Recipes,West India,fresh coconut coconut sesame til roasted peanut peanut roasted crushed jaggery cardamom elaichi ghee clarified butter greasing the plate,"['coconut', 'coconut', 'sesame', 'til', 'peanut', 'peanut', 'jaggery', 'cardamom', 'elaichi', 'ghee', 'clarified', 'butter', 'greasing', 'the', 'plate']","['butter', 'sesame', 'ghee']",https://www.archanaskitchen.com/goan-sweet-khatkhati-recipe-coconut-candy
1467,Goan Prawns Vindaloo Recipe,Spicy,15,15,30,4,Non Vegeterian,Side Dish,Goan Recipes,West India,prawn onion tomato salt sunflower oil onion garlic laung ginger chillies methi methiseeds mustard coriander coriander cardamom elaichi podsseeds elaichi stick laung laung haldi haldi jeera jeera black pepper corns vinegar,"['prawn', 'onion', 'tomato', 'salt', 'oil', 'onion', 'garlic', 'laung', 'ginger', 'chillies', 'methi', 'methiseeds', 'mustard', 'coriander', 'coriander', 'cardamom', 'elaichi', 'podsseeds', 'elaichi', 'laung', 'laung', 'haldi', 'haldi', 'jeera', 'jeera', 'pepper', 'corns', 'vinegar']","['prawn', 'mustard']",https://www.archanaskitchen.com/goan-prawns-vindaloo-recipe
1468,Spicy Haryana Style Egg Curry Recipe,Spicy,15,30,45,4,Non Vegeterian,Lunch,Haryana,North India,egg boiled green peas matar paneer paneer onion tomato pureed ginger garlic green chillies coriander coriander haldi haldi chilli garam masala coriander coriander,"['egg', 'boiled', 'peas', 'matar', 'paneer', 'paneer', 'onion', 'tomato', 'pureed', 'ginger', 'garlic', 'chillies', 'coriander', 'coriander', 'haldi', 'haldi', 'chilli', 'garam', 'masala', 'coriander', 'coriander']",['paneer'],http://www.archanaskitchen.com/spicy-haryana-style-egg-curry-recipe
1469,Baked Chana Dal Vada Recipe  Baked Chana Dal Vada Recipe,Spicy,195,20,215,4,Vegetarian,Snack,Indian,Indian,chana dal hours sauf jeera green chillies curry onion green coriander ginger laung garlic salt oil baking soda,"['chana', 'dal', 'hours', 'sauf', 'jeera', 'chillies', 'curry', 'onion', 'coriander', 'ginger', 'laung', 'garlic', 'salt', 'oil', 'baking', 'soda']",[],https://www.archanaskitchen.com/baked-chana-dal-vada-recipe-in-hindi
1470,Achari Amla Mirchi Vegetable Recipe  Gooseberry  Green Chilli Vegetable,Tangy,10,20,30,4,Vegetarian,Side Dish,North Indian Recipes,North India,amla nellikai gooseberry bite sized green chilli achari masala chilli haldi haldi jaggery salt saufseeds saunf methi methiseeds mustard sunflower oil hinghing,"['amla', 'nellikai', 'gooseberry', 'bite', 'sized', 'chilli', 'achari', 'masala', 'chilli', 'haldi', 'haldi', 'jaggery', 'salt', 'saufseeds', 'saunf', 'methi', 'methiseeds', 'mustard', 'oil', 'hinghing']",['mustard'],https://www.archanaskitchen.com/amla-mirchi-ka-achari-subzi-recipe-gooseberry-green-chilli-subzi
1471,Mughlai Style Aloo Matar Gobi Gravy Recipe,Spicy,10,25,35,5,Vegetarian,Lunch,Mughlai,North India,cauliflower gobi florets green peas matar fresh potatoes aloo saffron strands curd curd curd butter jeera jeera salt onion chillies coriander coriander elaichi stick dalchini laung laung laung cardamom elaichi podsseeds saufseeds saunf,"['cauliflower', 'gobi', 'florets', 'peas', 'matar', 'potatoes', 'aloo', 'saffron', 'curd', 'curd', 'curd', 'butter', 'jeera', 'jeera', 'salt', 'onion', 'chillies', 'coriander', 'coriander', 'elaichi', 'dalchini', 'laung', 'laung', 'laung', 'cardamom', 'elaichi', 'podsseeds', 'saufseeds', 'saunf']","['butter', 'curd']",https://www.archanaskitchen.com/mughlai-style-aloo-matar-gobi-curry-gravy-recipe
1472,Kimami Sewai Recipe,Sweet,10,45,55,4,Vegetarian,Dessert,Indian,Indian,semiya vermicelli fine banarsi sewai khoya mawa sugar milk water ghee cardamom elaichi phool makhana lotus almond almond slivered cashews slivered raisins garnish coconut kopra,"['semiya', 'vermicelli', 'fine', 'banarsi', 'sewai', 'khoya', 'mawa', 'sugar', 'milk', 'water', 'ghee', 'cardamom', 'elaichi', 'phool', 'makhana', 'lotus', 'almond', 'almond', 'slivered', 'cashews', 'slivered', 'raisins', 'coconut', 'kopra']","['ghee', 'milk']",http://www.archanaskitchen.com/kimami-sewai-recipe
1473, Chammanthi Chutney Recipe,Savory,20,20,40,4,Vegetarian,Side Dish,Indian,Indian,coconut ginger onion sprig curry hing mustard chillies oil salt according,"['coconut', 'ginger', 'onion', 'sprig', 'curry', 'hing', 'mustard', 'chillies', 'oil', 'salt', 'according']",['mustard'],https://www.archanaskitchen.com/chammanthi-chutney-recipe-in-hindi
1474,Red Beans And Oats Cutlet Recipe,Savory,25,30,55,4,Vegetarian,Snack,Indian,Indian,rajma large kidney beans soy granules instant oats oatmeal more dust onion ginger laung garlic salt jeera jeera chilli coriander coriander bunch sunflower oil shallow the cutlets,"['rajma', 'large', 'kidney', 'beans', 'soy', 'granules', 'instant', 'oats', 'oatmeal', 'more', 'dust', 'onion', 'ginger', 'laung', 'garlic', 'salt', 'jeera', 'jeera', 'chilli', 'coriander', 'coriander', 'bunch', 'oil', 'shallow', 'the', 'cutlets']",[],https://www.archanaskitchen.com/red-beans-and-oats-cutlet-recipe
1475,Cantonese Style Chicken Chowmein Recipe,Spicy,0,35,35,5,Non Vegeterian,Lunch,Chinese,International,egg noodles boneless chicken garlic crushed ginger crushed black pepper spring onion greens carrot carrot cabbage patta gobi muttaikose green bell peppers capsicum bok choy soy sauce fish sauce oyster sauce chilli sauce rice wine vinegar sesame gingelly oil salt spring onion greens garnish,"['egg', 'noodles', 'boneless', 'chicken', 'garlic', 'ginger', 'pepper', 'spring', 'onion', 'greens', 'carrot', 'carrot', 'cabbage', 'patta', 'gobi', 'muttaikose', 'bell', 'peppers', 'capsicum', 'bok', 'choy', 'soy', 'fish', 'oyster', 'chilli', 'rice', 'wine', 'vinegar', 'sesame', 'gingelly', 'oil', 'salt', 'spring', 'onion', 'greens']","['fish', 'sesame', 'carrot', 'chicken']",http://www.archanaskitchen.com/cantonese-style-chicken-chowmein-recipe
1476,Milk Braid Rolls Recipe,Sweet,120,20,140,8,Non Vegeterian,Snack,French,International,vivatta maida milk active yeast egg butter unsalted caster sugar salt sugar vanilla extract sesame til sprinkle,"['vivatta', 'maida', 'milk', 'active', 'yeast', 'egg', 'gram', 'butter', 'caster', 'sugar', 'salt', 'sugar', 'vanilla', 'sesame', 'til', 'sprinkle']","['sesame', 'butter', 'milk']",https://www.archanaskitchen.com/milk-braid-rolls-recipe
1477,Chilli Chocolate Cookies Recipe,Sweet,25,60,85,25,Vegetarian,Snack,Continental,International,purpose flour maida cocoa chocolate bar unsweetened butter egg chilli baking soda brown sugar demerara sugar sugar vanilla extract salt chocolate chips chocolate bar chunks,"['flour', 'maida', 'cocoa', 'chocolate', 'bar', 'unsweetened', 'butter', 'egg', 'chilli', 'baking', 'soda', 'brown', 'sugar', 'sugar', 'sugar', 'vanilla', 'salt', 'chocolate', 'chips', 'chocolate', 'bar', 'chunks']",['butter'],http://www.archanaskitchen.com/chilli-chocolate-cookies-recipe
1478,Provenal Tomato Rice Soup Recipe,Tangy,10,30,40,4,Vegetarian,Lunch,Fusion,International,rice semicooked olive oil onion carrot carrot laung garlic crushed orange zest rind dried thyme saufpowder tomato puree lukewarm water tomato vegetable salt sugar basil garnish,"['rice', 'semicooked', 'olive', 'oil', 'onion', 'carrot', 'carrot', 'laung', 'garlic', 'orange', 'zest', 'rind', 'thyme', 'saufpowder', 'tomato', 'lukewarm', 'water', 'tomato', 'vegetable', 'salt', 'sugar', 'basil']",['carrot'],https://www.archanaskitchen.com/provencal-tomato-rice-soup-recipe
